Close,ATR,H1_Close,H1_EMA,RSI_Z,MACD_line_Z,MACD_hist_Z,ADX_Z,stoch_k_Z,stoch_d_Z,H1_RSI_Z,H1_ADX_Z,upper_wick_Z,lower_wick_Z,body_size_Z,hour_sin,hour_cos,day_sin,day_cos,timestamp
1.15603,0.00020958365,1.15623,1.1554111,1.1590065,0.91010535,0.65814674,0.36904436,0.9500018,1.1266072,2.4640374,-3.1781726,0.65328807,0.5650275,-0.8404893,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15594,0.00020675626,1.15623,1.1554111,0.6048695,0.8355163,0.45896247,0.41997457,0.4072287,0.8444253,2.289857,-2.8855343,-0.5169843,0.37122864,-0.4065017,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15575,0.00020770224,1.15623,1.1554111,-0.45742634,0.5657546,0.018141937,0.31020477,-0.630935,0.26134428,2.1369865,-2.636419,-0.6844197,-0.91913015,0.7712533,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15594,0.00021429494,1.15623,1.1554111,0.3713134,0.51980305,-0.050630197,0.099494234,0.34269497,0.0434849,2.0058298,-2.436429,-0.3404902,-0.1779796,1.0530872,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15616,0.00021755959,1.15623,1.1554111,1.1479912,0.6799009,0.15927246,0.094027124,1.2424942,0.34518722,1.8914295,-2.2710803,-0.49419022,-1.1246796,1.226538,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15623,0.00020987676,1.15623,1.1554111,1.3266964,0.84725046,0.34327182,0.15764059,1.1612086,0.98222387,1.7902806,-2.1312938,-0.2681949,-1.1091496,-0.31903824,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15628,0.00020488555,1.15611,1.1554385,1.4644271,1.0014939,0.49673888,0.31985965,0.8648076,1.1599449,1.2319691,-3.098078,0.8961902,-1.1011175,-0.76940924,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15637,0.00019882231,1.15611,1.1554385,1.6842719,1.1796521,0.67446166,0.49964005,1.217886,1.1498873,1.1879187,-2.8031523,-0.504107,-0.6952317,-0.26786858,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15647,0.000195335,1.15611,1.1554385,1.8783537,1.3763075,0.8669567,0.7747511,1.168984,1.1521707,1.1456921,-2.559816,-0.30406454,-0.84897023,0.100757904,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.1563,0.00020281106,1.15611,1.1554385,0.89396757,1.3343306,0.67697096,0.8873026,0.234587,0.9299273,1.1055435,-2.363441,0.5432363,-0.45764065,1.1579053,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15624,0.00019903886,1.15611,1.1554385,0.5782887,1.2248306,0.40280282,0.82902044,0.014418693,0.5072542,1.0672597,-2.2002425,-0.49347425,0.11355499,-0.4244083,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15611,0.00020053607,1.15611,1.1554385,-0.055279195,1.0050341,-0.021457767,0.6191843,-0.48413098,-0.08168836,1.0306553,-2.061527,0.81649405,-0.64912146,0.17805797,0.9422609,-0.3348796,0.0,1.0,2025-11-10 14:22:42.167059
1.15615,0.00020049779,1.15615,1.1554664,0.11376988,0.856304,-0.26831064,0.41429347,-0.29952842,-0.27388898,1.1273063,-2.7010438,2.175835,-0.6271896,-0.9110822,0.8169699,-0.5766803,0.0,1.0,2025-11-10 14:22:42.167059
1.15637,0.0002111765,1.15615,1.1554664,0.9011939,0.92806053,-0.105962925,0.38177845,0.6081855,-0.0648892,1.0867995,-2.4805677,-0.08480956,0.62971914,1.4491918,0.8169699,-0.5766803,0.0,1.0,2025-11-10 14:22:42.167059
1.15629,0.00020252104,1.15615,1.1554664,0.4804938,0.88574505,-0.16086224,0.34774256,0.28902406,0.21394557,1.0481503,-2.2970493,-0.49911416,-1.0187683,-0.4700615,0.8169699,-0.5766803,0.0,1.0,2025-11-10 14:22:42.167059
1.15617,0.00019876954,1.15615,1.1554664,-0.11511852,0.71162117,-0.4170966,-0.02826382,-0.1993668,0.2513909,1.0111707,-2.1431901,-0.71737164,-0.3496587,0.039238628,0.8169699,-0.5766803,0.0,1.0,2025-11-10 14:22:42.167059
1.15615,0.00019242887,1.15615,1.1554664,-0.21268442,0.5365384,-0.62088686,-0.38827688,-0.26965564,-0.06472664,0.97569627,-2.0114927,-0.5051315,-0.7646129,-0.32092673,0.8169699,-0.5766803,0.0,1.0,2025-11-10 14:22:42.167059
1.15562,0.00024119155,1.15535,1.1553317,0.26251864,0.7832543,-0.81516415,-1.5584155,-0.570644,-0.1182556,0.07633595,-1.3471233,-0.20547818,-0.7532291,-0.43195623,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15553,0.00023610644,1.15535,1.1553317,0.016856521,0.6596546,-0.9902698,-1.6392674,-1.0807946,-0.6026148,0.070950754,-1.2914034,-0.589385,0.33673787,-0.6584397,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15567,0.00022924169,1.15535,1.1553317,0.35268396,0.60195565,-0.95360434,-1.6599705,-0.3314433,-0.6916437,0.042621367,-1.2403225,-0.6314677,-0.9516077,-0.16068335,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15532,0.00023929586,1.15535,1.1553317,-0.4982902,0.42567092,-1.2522407,-1.6443945,-1.7642212,-1.1098589,0.013113383,-1.1923627,-0.5038428,-0.91418165,1.1584623,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15545,0.00023434615,1.15535,1.1553317,-0.19811673,0.3234994,-1.2934765,-1.6168655,-1.057936,-1.1065735,-0.017783046,-1.1471862,-0.5398654,-0.34760848,-0.2227459,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15535,0.00023046428,1.15535,1.1553317,-0.47626668,0.1972896,-1.3864179,-1.5989658,-1.5440104,-1.5300989,-0.0503246,-1.1045135,-0.45673263,-0.15534478,-0.2764023,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15524,0.00023043112,1.15538,1.1553336,-0.75934607,0.047487937,-1.4951669,-1.5424536,-1.6657846,-1.4962584,-0.011099121,-0.8858957,-0.066766664,-0.5412852,-0.20754236,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15522,0.00022968603,1.15538,1.1553336,-0.85491514,-0.08905232,-1.5211937,-1.4219804,-1.1195544,-1.5173258,-0.047122754,-0.85192674,-0.6009,1.7825689,-0.69588834,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15514,0.00022470846,1.15538,1.1553336,-1.106692,-0.24008845,-1.5459548,-1.3139205,-1.4172063,-1.4733567,-0.10069207,-0.8247898,-0.50739634,0.3164309,-0.5046262,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15514,0.00022580072,1.15538,1.1553336,-1.1620479,-0.37125233,-1.48809,-1.2643993,-1.4271536,-1.3893925,-0.16322164,-0.7999297,0.49872777,0.12386093,-0.8732155,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
1.15528,0.00022038638,1.15538,1.1553336,-0.6809493,-0.43237463,-1.2750056,-1.2199826,-0.83418304,-1.2968397,-0.2393151,-0.7778977,-0.5112077,-0.9460901,-0.104446664,0.9790841,0.20345601,0.0,1.0,2025-11-10 14:55:30.198340
